" Product"," Status"," Volume Pricing"," Architecture"," Memory Type"," Program Memory KBytes"," Program Memory KWords"," Self-write"," EEPROM Data Memory"," RAM"," I/O Pins"," Pin count"," Max. CPU Speed MHz"," CPU Speed MIPS"," Internal Oscillator"," # of A/D Ch."," Cap Touch Channels"," Digital Communication"," Timers"," Temperature Range"," Operation Voltage Range"," Packages"
"  dsPIC33FJ16GP304"," In Production "," $2.58"," 16"," Flash"," 16"," 5.3"," Yes"," 0"," 2048"," 35"," 44"," 80"," 40","  "," 13","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 44/QFN 44/TQFP"
"  dsPIC33FJ16GS402"," In Production "," $2.52"," 16"," Flash"," 16"," 5"," Yes"," 0"," 2048"," 21"," 28"," 120"," 50"," 7.37 MHz, 32 kHz "," 8","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 28/QFN-S 28/SOIC 300mil 28/SPDIP"
"  dsPIC33FJ16GS404"," In Production "," $2.77"," 16"," Flash"," 16"," 5"," Yes"," 0"," 2048"," 35"," 44"," 120"," 50"," 7.37 MHz, 32 kHz "," 8","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 44/QFN 44/TQFP 44/VLAP"
"  dsPIC33FJ16GS502"," In Production "," $3.04"," 16"," Flash"," 16"," 5"," Yes"," 0"," 2048"," 21"," 28"," 120"," 50"," 7.37 MHz, 32 kHz "," 8","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 28/QFN-S 28/SOIC 300mil 28/SPDIP"
"  dsPIC33FJ16GS504"," In Production "," $3.42"," 16"," Flash"," 16"," 5"," Yes"," 0"," 2048"," 35"," 44"," 120"," 50"," 7.37 MHz, 32 kHz "," 12","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 44/QFN 44/TQFP 44/VLAP"
"  dsPIC33FJ16MC101"," In Production "," $1.57"," 16"," Flash"," 16"," 8"," Yes"," 0"," 1024"," 15"," 20"," 40"," 16"," 7.37 MHz, 32 kHz "," 4","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 20/PDIP 20/SOIC 300mil 20/SSOP 208mil"
"  dsPIC33FJ16MC102"," In Production "," $1.68"," 16"," Flash"," 16"," 8"," Yes"," 0"," 1024"," 21"," 28"," 40"," 16"," 7.37 MHz, 32 kHz "," 6","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 28/QFN 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil"
"  dsPIC33FJ16MC304"," In Production "," $2.65"," 16"," Flash"," 16"," 5.3"," Yes"," 0"," 2048"," 35"," 44"," 80"," 40","  "," 9","  "," 1 -UART    1 -SPI    1 -I2C   "," 0 - 8-bit   3 - 16-bit    1 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 44/QFN 44/TQFP"
"  dsPIC33FJ256GP506A"," In Production "," $4.20"," 16"," Flash"," 256"," 85"," Yes"," 0"," 16384"," 53"," 64"," 80"," 40"," 7.37 MHz, 512 kHz "," 18","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 125"," 3V - 3.6V"," 48/CSP 64/QFN 64/TQFP"
"  dsPIC33FJ256GP510A"," In Production "," $4.66"," 16"," Flash"," 256"," 85"," Yes"," 0"," 16384"," 85"," 100"," 80"," 40"," 7.37 MHz, 512 kHz "," 32","  "," 2 -UART    2 -SPI    2 -I2C   "," 0 - 8-bit   9 - 16-bit    4 - 32-bit  "," -40 to 150"," 3V - 3.6V"," 100/TQFP"
