" Product"," Status"," Volume Pricing"," Architecture"," Memory Type"," Program Memory KBytes"," Program Memory KWords"," Self-write"," EEPROM Data Memory"," RAM"," I/O Pins"," Pin count"," Max. CPU Speed MHz"," CPU Speed MIPS"," Internal Oscillator"," # of A/D Ch."," Cap Touch Channels"," Digital Communication"," Timers"," Temperature Range"," Operation Voltage Range"," Packages"
"  MTR6618"," In Production "," Call for pricing"," 8"," Flash"," 128"," 64"," Yes"," 0"," 3904"," 50"," 64"," 48"," 12","  ","  ","  ","  "," 0 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 85"," 2V - 3.6V"," 64/TQFP"
"  MTR6618-I/PT"," In Production "," Call for pricing"," 8"," Flash"," 128"," 64"," Yes"," 0"," 3904"," 50"," 64"," 48"," 12","  ","  ","  ","  "," 0 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 85"," 2V - 3.6V"," Please call for package information"
"  PIC10F200"," In Production "," $0.30"," 8"," Flash"," 0.375"," 0.25"," No"," 0"," 16"," 4"," 6"," 4"," 1"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F202"," In Production "," $0.33"," 8"," Flash"," 0.75"," 0.5"," No"," 0"," 24"," 4"," 6"," 4"," 1"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F204"," In Production "," $0.33"," 8"," Flash"," 0.375"," 0.25"," No"," 0"," 16"," 4"," 6"," 4"," 1"," 4 MHz "," 0"," 1"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F206"," In Production "," $0.36"," 8"," Flash"," 0.75"," 0.5"," No"," 0"," 24"," 4"," 6"," 4"," 1"," 4 MHz "," 0"," 1"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F220"," In Production "," $0.34"," 8"," Flash"," 0.375"," 0.25"," No"," 0"," 16"," 4"," 6"," 8"," 2"," 4 MHz, 8 MHz "," 2"," 2"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F222"," In Production "," $0.36"," 8"," Flash"," 0.75"," 0.5"," No"," 0"," 23"," 4"," 6"," 8"," 2"," 4 MHz, 8 MHz "," 2"," 2"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F320"," In Production "," $0.36"," 8"," Flash"," 0.448"," 0.256"," Yes"," 0"," 64"," 4"," 6"," 16"," 5"," 16 MHz, 32 kHz "," 3","  "," 0 -UART   "," 2 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP"
"  PIC10F322"," In Production "," $0.39"," 8"," Flash"," 0.896"," 0.512"," Yes"," 0"," 64"," 4"," 6"," 16"," 4"," 16 MHz, 32 kHz "," 3","  ","  "," 2 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 6/SOT-23 8/DFN 8/PDIP 14/PDIP"
"  PIC12F1501"," In Production "," $0.49"," 8"," Flash"," 1.75"," 1"," Yes"," 0"," 64"," 6"," 8"," 20"," 5"," 16 MHz, 32 kHz "," 4","  ","  "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12F1822"," In Production "," $0.73"," 8"," Flash"," 3.5"," 2"," Yes"," 256"," 128"," 6"," 8"," 32"," 8"," 32 MHz, 32 kHz "," 4"," 4"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 8/DFN 8/PDIP 8/SOIC 150mil"
"  PIC12F1840"," In Production "," $0.78"," 8"," Flash"," 7"," 4"," Yes"," 256"," 256"," 6"," 8"," 32"," 8"," 32 MHz, 32 kHz "," 4"," 4"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 8/DFN 8/PDIP 8/SOIC 150mil"
"  PIC12F508"," In Production "," $0.41"," 8"," Flash"," 0.75"," 0.5"," No"," 0"," 25"," 6"," 8"," 4"," 1"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12F509"," In Production "," $0.45"," 8"," Flash"," 1.5"," 1"," No"," 0"," 41"," 6"," 8"," 4"," 1"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil 8/SOIC 208mil"
"  PIC12F510"," In Production "," $0.49"," 8"," Flash"," 1.5"," 1"," No"," 0"," 38"," 6"," 8"," 8"," 2"," 4 MHz, 8 MHz "," 3"," 3"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12F519"," In Production "," $0.49"," 8"," Flash"," 1.5"," 1"," No"," 64"," 41"," 6"," 8"," 8"," 2"," 4 MHz, 8 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12F529T39A"," In Production "," $0.95"," 8"," Flash"," 2.3"," 1.5"," No"," 64"," 201"," 6","  "," 8"," 2"," 8 MHz ","  ","  ","  "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 85"," 2V - 3.7V"," 14/TSSOP"
"  PIC12F609"," In Production "," $0.52"," 8"," Flash"," 1.75"," 1"," No"," 0"," 64"," 6"," 8"," 20"," 5"," 4 MHz, 8 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 15V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12F615"," In Production "," $0.55"," 8"," Flash"," 1.75"," 1"," No"," 0"," 64"," 6"," 8"," 20"," 5"," 4 MHz, 8 MHz "," 4"," 4"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 150"," 2V - 15V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12F617"," In Production "," $0.59"," 8"," Flash"," 3.5"," 2"," Yes"," 0"," 128"," 6"," 8"," 20"," 5"," 4 MHz, 8 MHz "," 4"," 4","  "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12F629"," In Production "," $0.70"," 8"," Flash"," 1.75"," 1"," No"," 128"," 64"," 6"," 8"," 20"," 5"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/DFN-S 8/PDIP 8/SOIC 150mil"
"  PIC12F635"," In Production "," $0.84"," 8"," Flash"," 1.75"," 1"," No"," 128"," 64"," 6"," 8"," 20"," 5"," 8 MHz, 32 kHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/DFN-S 8/PDIP 8/SOIC 150mil"
"  PIC12F675"," In Production "," $0.77"," 8"," Flash"," 1.75"," 1"," No"," 128"," 64"," 6"," 8"," 20"," 5"," 4 MHz "," 4","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/DFN-S 8/PDIP 8/SOIC 150mil"
"  PIC12F683"," In Production "," $0.91"," 8"," Flash"," 3.5"," 2"," No"," 256"," 128"," 6"," 8"," 20"," 5"," 8 MHz, 32 kHz "," 4"," 3"," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/DFN-S 8/PDIP 8/SOIC 150mil 14/PDIP"
"  PIC12F752"," In Production "," $0.59"," 8"," Flash"," 1.75"," 1"," Yes"," 0"," 64"," 6"," 8"," 20"," 5"," 8 MHz "," 4","  ","  "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 8/DFN 8/PDIP 8/SOIC 150mil 14/PDIP"
"  PIC12LF1552"," Samples Available "," $0.49"," 8"," Flash"," 3.5"," 2"," Yes"," 0"," 256"," 6"," 8"," 32"," 8"," 16 MHz, 32 kHz "," 4"," 4"," 0 -I2C    1 -MSSP(SPI/I2C)   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 85"," 1.8V - 3.6V"," 8/MSOP 8/PDIP 8/SOIC 150mil"
"  PIC12LF1840T48A"," In Production "," $1.12"," 8"," Flash"," 7"," 4"," Yes"," 256"," 256"," 6"," 14"," 32"," 8"," 32 MHz, 32 kHz "," 4"," 4"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," 0 to 85"," 1.8V - 3.6V"," 14/TSSOP"
"  PIC16F1454"," Samples Available "," $0.91"," 8"," Flash"," 14"," 8"," Yes"," 0"," 1024"," 12"," 14"," 48"," 12","  ","  ","  "," 1 -A/E/USART    0 -I2C    1 -MSSP(SPI/I2C)   "," 1 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
"  PIC16F1455"," In Production "," $1.04"," 8"," Flash"," 14"," 8"," Yes"," 0"," 1024"," 12"," 14"," 48"," 12","  "," 5","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
"  PIC16F1459"," In Production "," $1.18"," 8"," Flash"," 14"," 8"," Yes"," 0"," 1024"," 18"," 20"," 48"," 12","  "," 9"," 9"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 20/PDIP 20/QFN 20/SOIC 300mil 20/SSOP 208mil"
"  PIC16F1503"," In Production "," $0.55"," 8"," Flash"," 3.5"," 2"," Yes"," 0"," 128"," 12"," 14"," 20"," 5"," 16 MHz, 32 kHz "," 8","  "," 1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
"  PIC16F1507"," In Production "," $0.69"," 8"," Flash"," 3.5"," 2"," Yes"," 0"," 128"," 18"," 20"," 20"," 5"," 16 MHz, 32 kHz "," 12","  ","  "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 20/PDIP 20/QFN 20/SOIC 300mil 20/SSOP 208mil"
"  PIC16F1508"," In Production "," $0.77"," 8"," Flash"," 7"," 4"," Yes"," 0"," 256"," 18"," 20"," 20"," 5"," 16 MHz, 32 kHz "," 12","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 20/PDIP 20/QFN 20/SOIC 300mil 20/SSOP 208mil"
"  PIC16F1509"," In Production "," $0.81"," 8"," Flash"," 14"," 8"," Yes"," 0"," 512"," 18"," 20"," 20"," 5"," 16 MHz, 32 kHz "," 12","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 20/PDIP 20/QFN 20/SOIC 300mil 20/SSOP 208mil 28/SPDIP"
"  PIC16F1512"," Future Product "," $0.81"," 8"," Flash"," 3.5"," 2"," Yes"," 0"," 128"," 25"," 28"," 20"," 5"," 16 MHz, 32 kHz "," 17"," 17"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1513"," Samples Available "," $0.88"," 8"," Flash"," 7"," 4"," Yes"," 0"," 256"," 25"," 28"," 20"," 5"," 16 MHz, 32 kHz "," 17","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1516"," In Production "," $0.95"," 8"," Flash"," 14"," 8"," Yes"," 0"," 512"," 25"," 28"," 20"," 5"," 16 MHz, 32 kHz "," 17"," 17"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1517"," In Production "," $1.32"," 8"," Flash"," 14"," 8"," Yes"," 0"," 512"," 36"," 40"," 20"," 5"," 16 MHz, 32 kHz "," 28"," 28"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 40/PDIP 40/UQFN 44/TQFP"
"  PIC16F1518"," In Production "," $1.01"," 8"," Flash"," 28"," 16"," Yes"," 0"," 1024"," 25"," 28"," 20"," 5"," 16 MHz, 32 kHz "," 17"," 17"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1519"," In Production "," $1.37"," 8"," Flash"," 28"," 16"," Yes"," 0"," 1024"," 36"," 40"," 20"," 5"," 16 MHz, 32 kHz "," 28"," 28"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 40/PDIP 40/UQFN 44/TQFP"
"  PIC16F1526"," In Production "," $1.47"," 8"," Flash"," 14"," 8"," Yes"," 0"," 768"," 55"," 64"," 20"," 5"," 16 MHz, 32 kHz "," 30"," 30"," 2 -A/E/USART    2 -MSSP(SPI/I2C)   "," 6 - 8-bit   3 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 64/QFN 64/TQFP"
"  PIC16F1527"," In Production "," $1.54"," 8"," Flash"," 28"," 16"," Yes"," 0"," 1536"," 55"," 64"," 20"," 5"," 16 MHz, 32 kHz "," 30"," 30"," 2 -A/E/USART    2 -MSSP(SPI/I2C)   "," 6 - 8-bit   3 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 64/QFN 64/TQFP"
"  PIC16F1782"," In Production "," $1.23"," 8"," Flash"," 3.5"," 2"," Yes"," 256"," 256"," 25"," 28"," 32"," 8"," 32 MHz, 32 kHz "," 11","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/QFN 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1783"," In Production "," $1.30"," 8"," Flash"," 7"," 4"," Yes"," 256"," 512"," 25"," 28"," 32"," 8"," 32 MHz, 32 kHz "," 11","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/QFN 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1784"," Future Product "," Call for pricing"," 8"," Flash"," 7"," 4"," Yes"," 256"," 512"," 36"," 40"," 32"," 8"," 32 MHz, 32 kHz "," 14","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," Please call for package information"
"  PIC16F1786"," Future Product "," Call for pricing"," 8"," Flash"," 14"," 8"," Yes"," 256"," 1024"," 25"," 28"," 32"," 8"," 32 MHz, 32 kHz "," 11","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 3.6V"," Please call for package information"
"  PIC16F1787"," Future Product "," Call for pricing"," 8"," Flash"," 14"," 8"," Yes"," 256"," 1024"," 36"," 40"," 32"," 8"," 32 MHz, 32 kHz "," 14","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," Please call for package information"
"  PIC16F1788"," Future Product "," Call for pricing"," 8"," Flash"," 28"," 16"," Yes"," 256"," 2048"," 25"," 28"," 32"," 8"," 32 MHz, 32 kHz "," 11","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," Please call for package information"
"  PIC16F1789"," Future Product "," Call for pricing"," 8"," Flash"," 28"," 16"," Yes"," 256"," 2048"," 36"," 40"," 32"," 8"," 32 MHz, 32 kHz "," 14","  "," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," Please call for package information"
"  PIC16F1823"," In Production "," $0.78"," 8"," Flash"," 3.5"," 2"," Yes"," 256"," 128"," 12"," 14"," 32"," 8"," 32 MHz, 32 kHz "," 8"," 8"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
"  PIC16F1824"," In Production "," $0.84"," 8"," Flash"," 7"," 4"," Yes"," 256"," 256"," 12"," 14"," 32"," 8"," 32 MHz, 32 kHz "," 8"," 8"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
"  PIC16F1825"," In Production "," $0.92"," 8"," Flash"," 14"," 8"," Yes"," 256"," 1024"," 12"," 14"," 32"," 8"," 32 MHz, 32 kHz "," 8"," 12"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
"  PIC16F1826"," In Production "," $0.97"," 8"," Flash"," 3.5"," 2"," Yes"," 256"," 256"," 16"," 18"," 32"," 8"," 32 MHz, 32 kHz "," 12"," 12"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 2 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 18/PDIP 18/SOIC 300mil 20/SSOP 208mil 28/QFN 28/UQFN"
"  PIC16F1827"," In Production "," $1.04"," 8"," Flash"," 7"," 4"," Yes"," 256"," 384"," 16"," 18"," 32"," 8"," 32 MHz, 32 kHz "," 12"," 12"," 1 -A/E/USART    2 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 18/PDIP 18/SOIC 300mil 20/SSOP 208mil 28/QFN 28/UQFN"
"  PIC16F1828"," In Production "," $0.99"," 8"," Flash"," 7"," 4"," Yes"," 256"," 256"," 18"," 20"," 32"," 8"," 32 MHz, 32 kHz "," 12"," 12"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 20/PDIP 20/QFN 20/SOIC 300mil 20/SSOP 208mil"
"  PIC16F1829"," In Production "," $1.06"," 8"," Flash"," 14"," 8"," Yes"," 256"," 1024"," 18"," 20"," 32"," 8"," 32 MHz, 32 kHz "," 12"," 12"," 1 -A/E/USART    2 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 20/PDIP 20/QFN 20/SOIC 300mil 20/SSOP 208mil 28/SPDIP"
"  PIC16F1829LIN"," Future Product "," Call for pricing"," 8"," Flash"," 14"," 8"," Yes"," 256"," 1024"," 12"," 20"," 32"," 8"," 32 MHz, 32 kHz "," 8"," 12"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 2.3V - 5.5V"," Please call for package information"
"  PIC16F1847"," In Production "," $1.09"," 8"," Flash"," 14"," 8"," Yes"," 256"," 1024"," 16"," 18"," 32"," 8"," 32 MHz, 32 kHz "," 12"," 12"," 1 -A/E/USART    2 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 18/PDIP 18/SOIC 300mil 20/SSOP 208mil 28/QFN 28/SPDIP 28/UQFN"
"  PIC16F1933"," In Production "," $1.23"," 8"," Flash"," 7"," 4"," Yes"," 256"," 256"," 25"," 28"," 32"," 8"," 32 MHz, 32 kHz "," 11"," 8"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/QFN 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1934"," In Production "," $1.46"," 8"," Flash"," 7"," 4"," Yes"," 256"," 256"," 36"," 40"," 32"," 8"," 32 MHz, 32 kHz "," 14"," 16"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 40/PDIP 40/UQFN 44/QFN 44/TQFP"
"  PIC16F1936"," In Production "," $1.30"," 8"," Flash"," 14"," 8"," Yes"," 256"," 512"," 25"," 28"," 32"," 8"," 32 MHz, 32 kHz "," 11"," 8"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/QFN 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1937"," In Production "," $1.53"," 8"," Flash"," 14"," 8"," Yes"," 256"," 512"," 36"," 40"," 32"," 8"," 32 MHz, 32 kHz "," 14"," 16"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 40/PDIP 40/UQFN 44/QFN 44/TQFP"
"  PIC16F1938"," In Production "," $1.37"," 8"," Flash"," 28"," 16"," Yes"," 256"," 1024"," 25"," 28"," 32"," 8"," 32 MHz, 32 kHz "," 11"," 8"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 28/QFN 28/SOIC 300mil 28/SPDIP 28/SSOP 208mil 28/UQFN"
"  PIC16F1939"," In Production "," $1.61"," 8"," Flash"," 28"," 16"," Yes"," 256"," 1024"," 36"," 40"," 32"," 8"," 32 MHz, 32 kHz "," 14"," 16"," 1 -A/E/USART    1 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 40/PDIP 40/UQFN 44/QFN 44/TQFP"
"  PIC16F1946"," In Production "," $1.75"," 8"," Flash"," 14"," 8"," Yes"," 256"," 512"," 53"," 64"," 32"," 8"," 32 MHz, 32 kHz "," 17"," 17"," 2 -A/E/USART    2 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 64/QFN 64/TQFP"
"  PIC16F1947"," In Production "," $1.82"," 8"," Flash"," 28"," 16"," Yes"," 256"," 1024"," 53"," 64"," 32"," 8"," 32 MHz, 32 kHz "," 17"," 17"," 2 -A/E/USART    2 -MSSP(SPI/I2C)   "," 4 - 8-bit   1 - 16-bit    0 - 32-bit  "," -40 to 125"," 1.8V - 5.5V"," 64/QFN 64/TQFP"
"  PIC16F505"," In Production "," $0.48"," 8"," Flash"," 1.5"," 1"," No"," 0"," 72"," 12"," 14"," 20"," 5"," 4 MHz "," 0","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
"  PIC16F506"," In Production "," $0.52"," 8"," Flash"," 1.5"," 1"," No"," 0"," 67"," 12"," 14"," 20"," 5"," 4 MHz, 8 MHz "," 3","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN 20/PDIP"
"  PIC16F526"," In Production "," $0.55"," 8"," Flash"," 1.5"," 1"," No"," 64"," 67"," 12"," 14"," 20"," 5"," 4 MHz, 8 MHz "," 3","  "," 0 -UART    0 -A/E/USART    0 -SPI    0 -I2C   "," 1 - 8-bit   0 - 16-bit    0 - 32-bit  "," -40 to 125"," 2V - 5.5V"," 14/PDIP 14/SOIC 150mil 14/TSSOP 16/QFN"
